x, y
-0.9900373599003736, 1.116108516433548e-11
-0.9551681195516811, 1.2994556683410013e-11
-0.9153175591531755, 1.4381300635610283e-11
-0.8754669987546699, 1.5916034152658053e-11
-0.8405977584059775, 1.5916034152658053e-11
-0.8057285180572851, 1.5916034152658053e-11
-0.7608966376089663, 1.5916034152658053e-11
-0.7310087173100871, 1.5129219149579967e-11
-0.6861768368617682, 1.4381300635610283e-11
-0.6513075965130758, 1.3670355748501903e-11
-0.6114570361145703, 1.2669290476106296e-11
-0.5765877957658777, 1.1447630322301809e-11
-0.5317559153175591, 1.0084856543308661e-11
-0.4968866749688666, 9.112405290491456e-12
-0.4620174346201742, 8.027626463449209e-12
-0.42465753424657504, 7.071984243711627e-12
-0.3872976338729761, 5.92211810406071e-12
-0.3524283935242838, 5.086534779371127e-12
-0.32254047322540447, 4.48101241115146e-12
-0.2777085927770857, 3.4776382477858523e-12
-0.23287671232876694, 2.6989364618509134e-12
-0.20298879202988784, 2.2035315143243017e-12
-0.15317559153175586, 1.584893192461124e-12
-0.11830635118306332, 1.2300089084872502e-12
-0.07098381070983795, 7.598606327722287e-13
-0.033623910336238794, 7.598606327722287e-13
0.0012453300124537492, 7.598606327722287e-13
0.03611457036114585, 7.993781875252244e-13
0.07098381070983839, 8.409509048518604e-13
0.10585305105853093, 8.84685666193321e-13
0.14570361145703647, 9.306949115011648e-13
0.20049813200498168, 1.0042338643617205e-12
0.2602739726027401, 1.0835835050438139e-12
0.33001245330012474, 1.1992206067113066e-12
0.4047322540473228, 1.2939771446235097e-12
0.4495641344956418, 1.3962208799928371e-12
0.4993773349937738, 1.4688331890041612e-12
0.554171855541719, 1.5452217969489136e-12
0.6039850560398508, 1.5452217969489136e-12
0.6737235367372358, 1.6673176540130181e-12
0.6936488169364887, 1.710123688866678e-12
0.7633872976338734, 1.8926234647980762e-12
0.8132004981320051, 2.0945991233406893e-12
0.8480697384806977, 2.2035315143243017e-12
0.9427148194271484, 2.6989364618509134e-12
0.9975093399750934, 3.2229745840260807e-12
